specimen_id,country,unique_countries,specimen_count
cicindelidae_34_6_12_tray_02_spec_021,Brazil,,
cicindelidae_34_6_12_tray_02_spec_022,Brazil,,
cicindelidae_34_6_12_tray_02_spec_023,Brazil,,
cicindelidae_34_6_12_tray_02_spec_024,Brazil,,
cicindelidae_34_6_12_tray_02_spec_025,Brazil,,
cicindelidae_34_6_12_tray_02_spec_026,Brazil,,
cicindelidae_34_6_12_tray_02_spec_027,Brazil,,
cicindelidae_34_6_12_tray_02_spec_028,Brazil,,
cicindelidae_34_6_12_tray_02_spec_029,Brazil,,
cicindelidae_34_6_12_tray_02_spec_035,Brazil,,
cicindelidae_34_6_12_tray_04_spec_001,Brazil,,
cicindelidae_34_6_12_tray_04_spec_002,Brazil,,
cicindelidae_34_6_12_tray_04_spec_003,Brazil,,
cicindelidae_34_6_12_tray_04_spec_004,Brazil,,
cicindelidae_34_6_12_tray_04_spec_005,Brazil,,
cicindelidae_34_6_12_tray_04_spec_006,Brazil,,
cicindelidae_34_6_12_tray_04_spec_007,Brazil,,
cicindelidae_34_6_12_tray_04_spec_008,Brazil,,
cicindelidae_34_6_12_tray_04_spec_009,Brazil,,
cicindelidae_34_6_12_tray_04_spec_010,Brazil,,
cicindelidae_34_6_12_tray_04_spec_011,Brazil,,
cicindelidae_34_6_12_tray_04_spec_012,Brazil,,
cicindelidae_34_6_12_tray_04_spec_013,Brazil,,
cicindelidae_34_6_12_tray_04_spec_014,Brazil,,
cicindelidae_34_6_12_tray_04_spec_015,Brazil,,
cicindelidae_34_6_12_tray_04_spec_016,Brazil,,
cicindelidae_34_6_12_tray_04_spec_017,Brazil,,
cicindelidae_34_6_12_tray_04_spec_018,Brazil,,
cicindelidae_34_6_12_tray_04_spec_019,Brazil,,
cicindelidae_34_6_12_tray_04_spec_020,Brazil,,
cicindelidae_34_6_12_tray_04_spec_021,Brazil,,
cicindelidae_34_6_12_tray_04_spec_022,Brazil,,
cicindelidae_34_6_12_tray_04_spec_023,Brazil,,
