tray_id,specimen_id,label_group,match_type,verbatim_text,country,stateProvince,county,municipality,locality,verbatimLocality,islandGroup,island,verbatimElevation,habitat,samplingProtocol,recordedBy,identifiedBy,verbatimEventDate,verbatimCoordinates,possibleName,source,otherCatalogNumbers,flags
34_6_11_tray_12,cicindelidae_34_6_11_tray_12_spec_001,,,,Ecuador,Pastaza,,,"Rio Cushuimi, 150km SE of Puyo","Rio Cushuimi, 150km SE of Puyo",,,,,,B. Malkin,,02 Jul 1971,,,manual,,
34_6_11_tray_13,cicindelidae_34_6_11_tray_13_spec_001,,,,Venezuela,Bolivar,,Ciudad Bolivar,,,,,,,,E.A. Klages,,2Jun1898 – 18Jun1898,,,manual,,
34_6_11_tray_14,cicindelidae_34_6_11_tray_14_spec_001,,,,Uruguay,,,Montevideo,,,,,,,,J. Tremoleras,,,,,manual,,
34_6_11_tray_15,cicindelidae_34_6_11_tray_15_spec_002,,,,United Republic of Tanzania,,,Kigonsera,,,,,,,,,,,,,manual,,
34_6_11_tray_16,cicindelidae_34_6_11_tray_16_spec_001,,,,Australia,New South Wales,,,"Bourke and Wilcannia, Darling River","Bourke and Wilcannia, Darling River",,,,,,Helms,,05 Jun 1990,,,manual,,
34_6_11_tray_17,cicindelidae_34_6_11_tray_17_spec_001,,,,South Sudan,,,Torit,Equatoria,Equatoria,,,,,,H. Hoogstraal,,12 Apr 1950,,,manual,,
34_6_11_tray_18,cicindelidae_34_6_11_tray_18_spec_001,,,,Egypt,,,Ras el-Barr,,,,,,,,Alfieri,,Sep-31,,,manual,,
34_6_11_tray_19,cicindelidae_34_6_11_tray_19_spec_001,,,,,,,,Upper Amazon,Upper Amazon,,,,,,,,,,,manual,,
34_6_11_tray_20,cicindelidae_34_6_11_tray_20_spec_001,,,,Argentina,,,Mendoza,,,,,,,,,,,,,manual,,
34_6_12_tray_01,cicindelidae_34_6_12_tray_01_spec_001,,,,Peru,Loreto,,,"20km from Ucayali on Rio Calleria, Colonia Calleria","20km from Ucayali on Rio Calleria, Colonia Calleria",,,,,,B. Malkin,,01 Oct 1961 – 05 Oct 1961,,,manual,,
34_6_12_tray_02,cicindelidae_34_6_12_tray_02_spec_001,,,,Brazil,Mato Grosso,,,"Tapirape Village, confluence of Rio Tapirape and Rio Araguaia","Tapirape Village, confluence of Rio Tapirape and Rio Araguaia",,,,,,B. Malkin,,20 Nov 1960 – 30 Nov 1960,,,manual,,
34_6_12_tray_03,cicindelidae_34_6_12_tray_03_spec_001,,,,Ecuador,Sucumbios,,Santa Rosa,headwaters of Rio San Miguel,headwaters of Rio San Miguel,,,,,,B. Malkin | P. Burchard,,10 Oct 1970 – 20 Oct 1970,,,manual,,
34_6_12_tray_04,cicindelidae_34_6_12_tray_04_spec_001,,,,Brazil,Goias,,Santa Isabel,Rio Araguaia,"Rio Araguaia, Bananal Island",,Bananal,,,,B. Malkin,,29 Nov 1960,,,manual,,
34_6_12_tray_05,cicindelidae_34_6_12_tray_05_spec_001,,,,Brazil,Goias,,Santa Isabel,Rio Araguaia,"Rio Araguaia, Bananal Island",,Bananal,,,,B. Malkin,,29 Nov 1960,,,manual,,
34_6_12_tray_06,cicindelidae_34_6_12_tray_06_spec_001,,,,Colombia,Magdalena,,Valledupar,,,,,,,,B. Malkin,,10 Jul 1968 – 13 Jul 1968,,,manual,,
34_6_12_tray_07,cicindelidae_34_6_12_tray_07_spec_001,,,,Brazil,Mato Grosso,,,"Tapirape Village, confluence of Rio Tapirape and Rio Araguaia","Tapirape Village, confluence of Rio Tapirape and Rio Araguaia",,,,,,B. Malkin,,20 Nov 1960 – 30 Nov 1960,,,manual,,
34_6_12_tray_08,cicindelidae_34_6_12_tray_08_spec_001,,,,Brazil,Mato Grosso,,Mato Verde,Rio Araguaia,Rio Araguaia,,,,,,B. Malkin,,06 Nov 1960 – 10 Nov 1960,,,manual,,
34_6_12_tray_09,cicindelidae_34_6_12_tray_09_spec_001,,,,Peru,,,Lima,,,,,,,,P. Papryzxi,,08 Dec 1987,,,manual,,
34_6_12_tray_10,cicindelidae_34_6_12_tray_10_spec_001,,,,Brazil,Mato Grosso,,Mato Verde,Rio Araguaia,Rio Araguaia,,,,,,B. Malkin,,06 Nov 1960 – 10 Nov 1960,,,manual,,
34_6_12_tray_11,cicindelidae_34_6_12_tray_11_spec_001,,,,,,,,Upper Amazon,Upper Amazon,,,,,,,,,,,manual,28,
34_6_12_tray_12,cicindelidae_34_6_12_tray_12_spec_001,,,,Peru,,,,"Rio Ucayali, between Pucallpa and Iquitos","Rio Ucayali, between Pucallpa and Iquitos",,,,,,B. Malkin,,02 Nov 1961 – 05 Nov 1961,,,manual,,
34_6_12_tray_14,cicindelidae_34_6_12_tray_14_spec_001,,,,Malawi,,Mzimba,Mzimba,,,,,,,,Don Hilliard,,09 Dec 1971,,,manual,,
34_6_12_tray_15,cicindelidae_34_6_12_tray_15_spec_001,,,,Ecuador,Sucumbios,,Santa Rosa,Rio San Miguel,Rio San Miguel,,,,,,B. Malkin,,01 Sep 1971 – 07 Sep 1971,,,manual,,
34_6_12_tray_16,cicindelidae_34_6_12_tray_16_spec_001,,,,Costa Rica,Guanacaste,,,"Santa Rosa National Park, Pitilla Zoological Station","Santa Rosa National Park, Pitilla Zoological Station",,,,,flight intercept trap,J. Louderman | C. Grinter,,20 May 2007 – 28 May 2007,,,manual,,
34_6_12_tray_17,cicindelidae_34_6_12_tray_17_spec_001,,,,Panama,Panama,,,Cerro Azul,Cerro Azul,,,,,at UV blacklight,A. Newton,,21 Jun 1976 – 22 Jun 1976,,,manual,,
34_6_12_tray_18,cicindelidae_34_6_12_tray_18_spec_001,,,,Brazil,Goias,,Santa Isabel,Rio Araguaia,"Rio Araguaia, Bananal Island",,Bananal,,,,B. Malkin,,29 Nov 1960,,,manual,,
34_6_12_tray_19,cicindelidae_34_6_12_tray_19_spec_001,,,,Ecuador,Pastaza,,,"Rio Cushuimi, 150km SE of Puyo","Rio Cushuimi, 150km SE of Puyo",,,,,,B. Malkin,,15 May 1971 – 31 May 1971,,,manual,,
34_6_13_tray_01,cicindelidae_34_6_13_tray_01_spec_001,,,,Australia,Western Australia,,Hyden,,,,,,,,,,19 Feb 1986,,,manual,,
34_6_13_tray_02,cicindelidae_34_6_13_tray_02_spec_001,,,,Senegal,,,,,,,,,,,D. Harvey,,1966,,,manual,,
34_6_13_tray_03,cicindelidae_34_6_13_tray_03_spec_001,,,,United States of America,Missouri,Franklin,Washington,,,,,,,,S. Parshall,,03 Jul 1979,,,manual,9031979.1,
34_6_13_tray_04,cicindelidae_34_6_13_tray_04_spec_006,,,,Brazil,Mato Grosso,,,"Tapirape Village, confluence of Rio Tapirape and Rio Araguaia","Tapirape Village, confluence of Rio Tapirape and Rio Araguaia",,,,,,B. Malkin,,20 Nov 1960 – 30 Nov 1960,,,manual,,
34_6_13_tray_05,cicindelidae_34_6_13_tray_05_spec_001,,,,United States of America,Kansas,,McPherson,,,,,,,,W. Knaus,,Aug,,,manual,,
34_6_13_tray_06,cicindelidae_34_6_13_tray_06_spec_001,,,,United States of America,Louisiana,,New Orleans,,,,,,,,H. Dybas,,17 Jun 1938,,,manual,,
